state,drive_seconds_lazy,drive_seconds_precise,difference_sec,pct_diff
US:New Mexico,946689,1030720,84031,8.152650574355789
US:Idaho,258483,311269,52786,16.95832222290045
US:Ohio,636476,659834,23358,3.5399812680158944
US:Illinois,750353,771808,21455,2.7798364360048096
US:Oklahoma,477392,498616,21224,4.256582219583808
US:Maryland,186974,204146,17172,8.411626972852762
US:West Virginia,71533,86625,15092,17.42222222222222
US:Nevada,259794,274591,14797,5.388741801442873
US:Louisiana,469683,480294,10611,2.2092718210096316
US:Florida,873264,883187,9923,1.123544617391334
US:Colorado,279249,288928,9679,3.349969542585004
US:New York,150899,159823,8924,5.583676942617771
US:Nebraska,573840,582588,8748,1.5015757276153987
US:North Carolina,232633,240879,8246,3.423295513515084
US:Arkansas,359899,365033,5134,1.4064481841367766
US:Kentucky,73598,77998,4400,5.6411702864176005
US:Washington,298002,302116,4114,1.3617286075547141
US:Montana,68025,71921,3896,5.417054824043047
US:Delaware,10782,14678,3896,26.543125766453198
US:Massachusetts,80412,83465,3053,3.657820643383454
US:Minnesota,94404,97431,3027,3.1068140530221386
US:Georgia,441704,444447,2743,0.6171714512641553
US:Oregon,234375,236301,1926,0.8150621453146623
US:Iowa,424495,425982,1487,0.34907578254480237
US:Indiana,457904,457481,-423,-0.09246285638092074
US:Connecticut,123014,122441,-573,-0.46798049672903685
US:District of Columbia,11124,10457,-667,-6.378502438557904
US:Alabama,384237,383543,-694,-0.18094450948133586
US:Tennessee,626887,624835,-2052,-0.3284066993686333
US:Kansas,131996,129262,-2734,-2.115084092772818
US:Missouri,531132,527749,-3383,-0.6410244263845124
US:North Dakota,38721,34980,-3741,-10.694682675814752
US:Virginia,684110,679678,-4432,-0.652073481854643
US:South Carolina,247313,242576,-4737,-1.952790053426555
US:Wisconsin,189562,182836,-6726,-3.678706600450677
US:Michigan,111682,104767,-6915,-6.600360800633788
US:New Jersey,147047,136910,-10137,-7.404134102695201
US:Arizona,1089175,1078302,-10873,-1.0083446010486856
US:Mississippi,351466,336965,-14501,-4.303414301188551
US:Utah,285435,259764,-25671,-9.882431745738439
US:California,1110809,1064402,-46407,-4.359912890054697
US:Pennsylvania,890411,828053,-62358,-7.5306773841771
US:Wyoming,441016,378555,-62461,-16.499848106615946
US:Texas,2212558,2142584,-69974,-3.2658696228479256
